,Model,Price
0,AL4185X1 Blue Dial Mechanical,"11,500"
1,AL4445X1 Green Dial with Black Rotating Strap Mechanical,"13,500"
2,AL4191X1 Dual Tone Bezel Mechanical Watch,"10,500"
3,AL4209X1 Black & Orange Gradation Dial Tokyo Neon Mechanical,"12,700"
4,AL4477X1 Red Dial With Metal Strap Mechanical,"11,500"
5,AL4463X1 Ebony Black Dial Mechanical,"14,500"
6,AL4443X1 Green Dial with White Rotating Bezel Mechanical,"12,000"
7,AL4439X1 Green Dial with Black Silicone Strap Mechanical,"14,500"
8,AL4437X1 Green Dial with White Metal Strap Mechanical,"12,500"
9,AL4359X1,"12,500"
10,AL4455X1 Azure Dial Mechanical with Blue+Red Rotating Bezel,"12,500"
11,AG8N21X1 Nebula Blue Dial with Blue Leather Straps,"7,000"
12,AS9R35X1 White Marble Dial with Silver Metal Straps,"7,000"
13,AS9R29X1 Green Marble Dial Watch,"7,000"
14,AS9R28X1 White Marble Dial with Rose Gold+Silver Metal Straps,"8,000"
15,AS9R25X1 Black Marble Dial Watch,"9,000"
16,AS9R22X1 Asterix Black Dial with Black Leather Straps,"9,000"
17,AS9R21X1 Asterix Light Blue Dial Watch,"8,000"
18,AS9R19X1 Asterix Black Dial with Metal Straps,"8,000"
19,AS9R17X1 Asterix Blue Dial Watch,"8,000"
